"7 Апреля 2019 [11 45]" "8 апреля в горах Дагестана выше 2500 м  в горах Республики Алтай лавиноопасно "
"27 Июня 2015 [20 37]" "28 июня на реках Карачаево-Черкесии ожидается подъем уровня воды в отдельных районах до опасной отметки  В горах сход селей "
"27 Июня 2015 [16 31]" "В ближайшие 3-6 часов с сохранением ночью 28 июня в Калмыкии местами ожидается сильный дождь  ливневый дождь  гроза  град  ветер 20-23 м/с "
"27 Июня 2015 [16 14]" "В ближайшие 1-2 часа с сохранением ночью 28 июня в Волгоградской области местами ожидается сильный дождь  ливневый дождь  гроза  град  ветер 23-28 м/с "
"27 Июня 2015 [13 56]" "С 18 часов 27 июня с сохранением в течение суток 28 июня в Воронежской области ожидается комплекс метеорологических явлений  сильный ливневый дождь  гроза  град  ветер 18-23 м/с "
"27 Июня 2015 [12 31]" "Днем 27 июня с сохранением в течение суток 28 июня в Московской области местами ожидается очень сильный дождь "
"27 Июня 2015 [12 21]" "Днем 27 июня в Смоленской области ожидается очень сильный дождь "
"27 Июня 2015 [11 43]" "В ближайшие 2-4 часа с сохранением до конца суток 27 июня  ночью и утром 28 июня в Краснодарском крае  в т ч  на черноморском побережье  местами ожидается сильный дождь  гроза  ливневый дождь  град  ветер до 20 м/с "
"27 Июня 2015 [11 38]" "Днем 27 июня во Владимирской области ожидается очень сильный дождь "
"26 Июня 2015 [23 10]" "До конца суток 26 июня и в ночь с 26 на 27 июня в Чечне сохранится очень сильный дождь  сильный ливневый дождь  град  ветер 20-25 м/с "
"26 Июня 2015 [22 30]" "26 июня в Ростовской области сильная жара  температура днем до 40°   С 27 июня по 1 июля местами в Оренбургской области сохранится аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и более "
"26 Июня 2015 [20 57]" "В ближайшие час и в ночь с 26 на 27 июня в Ингушетии ожидается сильный грозовой дождь  град  ветер до 20 м/с  На реках местами повышение уровней воды до неблагоприятных отметок  В горах сход селей малого объема  В ближайший час 26 июня с сохранением ночью и утром 27 июня местами по северу и востоку Ростовской области ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 20 м/с "
"26 Июня 2015 [16 40]" "С 27 по 30 июня местами в Ульяновской области сохранится аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и боле "
"26 Июня 2015 [11 51]" "В ближайший час и до конца суток 26 июня местами на черноморском побережье Краснодарского края в районе Анапа-Джубга ожидается сильный грозовой дождь  ливневый дождь  ветер до 20 м/с "
"26 Июня 2015 [08 45]" "27-28 июня в Амурской области местами ожидается сильный дождь  ливневый дождь  гроза  град  ветер 15-20 м/с "
"26 Июня 2015 [06 05]" "27 июня в связи с продолжающимися дождями на реках Карачаево-Черкесии ожидается подъем уровня воды в отдельных районах до опасной отметки  В горах сход селей "
"26 Июня 2015 [06 05]" "26 июня в связи с продолжающимися дождями на реках Карачаево-Черкесии продолжится повышения уровня воды местами с достижением опасных отметок  в горах сход селей "
"26 Июня 2015 [05 45]" "В ближайший час с сохранением до конца суток 26 июня в Краснодарском крае и Адыгее ожидаются сильные грозовые дожди  местами ливни с грозами  градом и шквалистым усилением ветра до 20 м/с  На юго-западных притоках реки Кубань и реках Черноморского побережья на участке от Анапы до Магри подъем уровня воды с достижением неблагоприятных отметок "
"25 Июня 2015 [20 45]" "В ближайшие час с сохранением до конца суток 25 июня в Воронежской области ожидается комплекс неблагоприятных явлений  сильные ливневые дожди  грозы  град  при грозах усиление ветра до 15-20 м/с  местами до 24 м/с "
"25 Июня 2015 [17 50]" "В ближайшие час с сохранением до конца суток 25 июня в Воронежской области ожидается комплекс неблагоприятных явлений  сильные ливневые дожди  грозы  град  при грозах усиление ветра до 15-20 м/с  местами до 24 м/с "
"25 Июня 2015 [17 50]" "В ближайшие 1-3 часа с сохранением до конца суток 25 июня в Иваново и местами в Ивановской области ожидается очень сильный дождь  50 мм и более  "
"25 Июня 2015 [17 35]" "В ближайшие 1-3 часа с сохранением до конца суток 25 июня  ночью и утром 26 июня над Черным морем в районе Магри-Веселое опасность формирования смерчей "
"25 Июня 2015 [15 30]" "В ближайшие 1-3 часа с сохранением до конца суток 25 июня в Костромской области ожидается Сильный дождь  гроза  град  ветер 18-23 м/с "
"25 Июня 2015 [15 30]" "В ближайшие 1-3 часа с сохранением до конца суток 25 июня в Костромской области ожидается сильный дождь  гроза  град  ветер 18-23 м/с "
"25 Июня 2015 [15 20]" "26 июня в Воронежской области ожидается сильная жара  температура днем до 35 °  "
"25 Июня 2015 [15 10]" "26 июня в Свердловской и Челябинской областях ожидается очень сильный дождь  гроза  крупный град  ветер 20-25 м/с "
"25 Июня 2015 [15 10]" "26 июня в Свердловской и Челябинской областях ожидается очень сильный дождь  гроза  крупный град  ветер 20-25 м/с "
"25 Июня 2015 [15 05]" "В ближайшие 1-3 часа с сохранением до конца суток 25 июня  ночью и утром 26 июня в Сочи местами ожидается сильный грозовой дождь  ливневый дождь  На реках подъем уровня воды  местами с достижением неблагоприятных отметок "
"25 Июня 2015 [15 00]" "В ближайшие 1-2 часа с сохранением до конца суток 25 июня  ночью и утром 26 июня в Рязанской области ожидаются ливневый дождь  гроза  град  ветер 15-20 м/с "
"25 Июня 2015 [11 35]" "27-28 июня в Иркутской области ожидаются заморозки  температура ночью -2   0°  "
"25 Июня 2015 [10 25]" "26-27 июня в центральных районах Красноярского края ожидаются заморозки  температура ночью до -1°  "
"25 Июня 2015 [00 00]" "В ближайшие 2-3 часа с сохранением 25 и 26 июня в Ставропольском крае ожидается сильный грозовой дождь  град  ветер до 20 м/с "
"24 Июня 2015 [23 55]" "В ближайший час с сохранением в течение суток 25 июня в Калмыкии ожидается сильный грозовой дождь  град  ветер до 20 м/с "
"24 Июня 2015 [22 35]" "В конце суток 24 июня  в начале суток 25 июня в нижнем и среднем течении реки Бельбек  Крым  ожидается подъем уровня воды на 1 5-2 5 м над предпаводочными уровнями воды "
"24 Июня 2015 [21 55]" "В ближайший час с сохранением до конца суток 24 июня  ночью и утром 25 июня в Рязанской области ожидается очень сильный грозовой дождь  ветер 25-27 м/с "
"24 Июня 2015 [21 05]" "Ночью и утром 25 июня в Урупском районе Карачаево-Черкесии ожидается подъем уровня воды до опасных отметок  В горных районах сход селей "
"24 Июня 2015 [21 00]" "В ближайший час с сохранением до конца суток 24 июня и 25 июня в Ингушетии и Чечне ожидается сильный грозовой дождь  град  ветер до 20 м/с  на реках повышение уровня воды до неблагоприятных отметок  в горах сход селей малого объема "
"24 Июня 2015 [20 25]" "25-27 июня в Свердловской области сохранится аномально жаркая погода "
"24 Июня 2015 [18 30]" "Днем 25 и ночью 26 июня в Тыве ожидается сильный и очень сильный дождь  ливневый дождь  гроза  град  ветер 25-27 м/с "
"24 Июня 2015 [18 25]" "Аномально жаркая погода сохранится 25-30 июня в Татарстане со среднесуточной температурой на 9° и более выше климатической нормы  25-29 июня в Саратовской области со среднесуточной температурой на 7° и более выше климатической нормы "
"24 Июня 2015 [18 15]" "25-27 июня в Челябинской области сохранится аномально жаркая погода "
"24 Июня 2015 [18 05]" "25-27 июня в Челябинской области сохранится аномально жаркая погода "
"24 Июня 2015 [18 00]" "С 22 ч 24 июня с сохранением в течение суток 25 июня на черноморском побережье Краснодарского края ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 22 м/с  на реках повышение уровня воды до неблагоприятных отметок "
"24 Июня 2015 [17 50]" "В ближайший час с сохранением до конца суток 24 и 25 июня в Кабардино-Балкарии  в ближайшие 2-4 часа с сохранением до конца суток 24 и 25 июня в Северной Осетии ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 20 м/с  на реках повышение уровней до неблагоприятных отметок  в горах сход селей малого объема "
"24 Июня 2015 [14 45]" "25 июня в Пермском крае ожидается очень сильный дождь  гроза  крупный град  ветер 20-25 м/с "
"24 Июня 2015 [14 40]" "В ближайший час с сохранением до конца суток 24 и 25 июня в Челябинской области  25 июня в Свердловской области ожидается очень сильный дождь  гроза  крупный град  ветер 20-25 м/с "
"24 Июня 2015 [14 30]" "25-30 июня в Самарской области сохранится аномально жаркая погода со среднесуточной температурой выше климатической нормы на 7° и более "
"24 Июня 2015 [14 25]" "24 и 25 июня в Чечне ожидается сильная жара  температура днем до 40°  "
"24 Июня 2015 [14 05]" "В ближайшие 2-4 часа с сохранением до конца суток 24 и 25 июня в Карачаево-Черкесии ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 20 м/с  на реках повышение уровня воды до неблагоприятных отметок  в горах сход селей малых объемов "
"24 Июня 2015 [12 20]" "В период 13-16 ч 24 июня в Дагестане ожидается сильная жара  температура 38-43°  "
"24 Июня 2015 [12 10]" "26 июня в Астраханской области сохранится сильная жара  температура днем до 41°  "
"24 Июня 2015 [11 05]" "24-25 июня в Саратовской области сохранится сильная жара  температура до 40°  "
"24 Июня 2015 [10 55]" "24-25 июня в Башкортостане ожидается ливневый дождь  гроза  крупный град  ветер 20-25 м/с "
"24 Июня 2015 [07 47]" "24-25 июня в Тыве ожидается сильная жара  температура днем 35° и выше  "
"24 Июня 2015 [01 25]" "В ближайший 1-3 часа и до конца суток 24 и 25 июня местами в Краснодарском крае  25июня включая Черноморское побережье   Адыгее ожидается сильный грозовой дождь  ливневый дождь  град  ветер 17-22 м/с  На реках  малых реках и водотоков бассейна реки Кубань  Краснодарский край  Адыгея  ожидается подъем уровней воды местами с достижением неблагоприятных отметок "
"24 Июня 2015 [01 25]" "В ближайшие 1-3 часа и до конца суток 24 и 25 июня местами в Краснодарском крае  25 июня включая Черноморское побережье   Адыгее ожидается сильный грозовой дождь  ливневый дождь  град  ветер 17-22 м/с  На реках  малых реках и водотоков бассейна реки Кубань  Краснодарский край  Адыгея  ожидается подъем уровней воды местами с достижением неблагоприятных отметок "
"23 Июня 2015 [23 25]" "В ближайший 1 час с сохранением ночью с 23 на 24 июня в отдельных районах Волгоградской области и в г  Волгоград ожидается сильный грозовой дождь  град  ветер 23-28 м/с  "
"23 Июня 2015 [22 15]" "Вечером 23 июня местами в Челябинской области ожидается сильный ливневый дождь  гроза  крупный град  ветер 20-25 м/с  "
"23 Июня 2015 [18 15]" "Сильная жара сохранится 26 июня по востоку Волгоградской области  температура днем 40  42°   24 июня местами по югу Пермского края  до 36°   В ближайшие 1-2 часа и вечером 23 июня  а также в течение суток 24 и 25 июня местами в Ростовской области  в том числе в Ростове-на-Дону ожидается сильный грозовой дождь  ливневый дождь  град  ветер 17-22 м/с  местами 24-29 м/с  "
"23 Июня 2015 [12 20]" "Во второй половине дня 24 и сутки 25  26 июня в Крымском федеральном округе ожидается сильный  местами очень сильный дождь  гроза  град  ветер 15-20 м/с  Днем 23 и 24 июня местами в Пермском крае  днем 24 июня в Свердловской области ожидается очень сильный дождь  гроза  крупный град  ветер 20-25 м/с  "
"23 Июня 2015 [11 51]" "В ближайшие 3-6 часа и до конца суток 23 и 24 июня в Ставропольском крае ожидается сильный грозовой дождь  град  ветер до 20 м/с "
"23 Июня 2015 [11 51]" "В ближайшие 3-6 часа и до конца суток 23 24 июня в Ставропольском крае ожидается сильный грозовой дождь  град  ветер до 20 м/с "
"22 Июня 2015 [16 22]" "22-23 июня в Свердловской области местами  на севере Челябинской области ожидается сильный ливневый дождь  гроза  крупный град  ветер 20-25 м/с "
"22 Июня 2015 [16 20]" "В ближайшие 1-3 часа с сохранением до конца суток 22 и в течение суток 23 июня в Карачаево-Черкесии и в Адыгее ожидается сильный дождь  ливневый дождь  гроза  град  ветер 20-25 м/с  На реках Карачаево-Черкесии повышение уровней воды с достижением неблагоприятных отметок  в горах сход селей малого объема  В Адыгее"
"22 Июня 2015 [16 15]" "Днем 22 июня в южных районах Кировской области ожидается сильная жара  температура до 35°  "
"22 Июня 2015 [15 01]" "23-25 июня в Астраханской области ожидается сильная жара  температура днем 40   41°  "
"22 Июня 2015 [11 01]" "Во второй половине дня 22 июня в Самарской области местами ожидается сильная жара  температура до 40°  "
"22 Июня 2015 [10 36]" "Днем 22 июня на юге Удмуртии ожидается сильная жара  температура до 35°  "
"22 Июня 2015 [05 50]" "22-23 июня в Бурятии ожидается усиление северо-западного ветра до 20-25 м/с  пыльные бури  дожди  ливни  грозы  град "
"21 Июня 2015 [23 43]" "В ближайший час с сохранением до конца суток 21 июня  ночью и утром 22 июня в Ивановской области местами ожидается усиление юго-западного ветра порывами 24-26 м/с "
"21 Июня 2015 [16 05]" "21-25 июня на большей части Приволжского федерального округа ожидается аномально жаркая погода со среднесуточной температурой на 7° и более выше нормы  сильная жара 21 июня в Самарской области до +40°  Кировской  Нижегородской областях и Марий Эл до +35°  22 июня в Саратовской области до +40   +42°"
"21 Июня 2015 [14 45]" "В ближайшие 3 часа с сохранением до конца суток 21 июня и 22 июня в Северной Осетии  Ростовской области сильные грозовые дожди  ливни  град  усиление ветра до 20 м/с  На реках Северной Осетии ожидается подъем уровней воды до неблагоприятных отметок  в горах сход селей малых объемов "
"21 Июня 2015 [13 45]" "24 июня в Крымском федеральном округе днем сильные грозовые дожди  ливни  град 15-20 м/с "
"21 Июня 2015 [13 35]" "В период с 21 по 25 июня в Пермском крае ожидается аномально жаркая погода со среднесуточной температурой воздуха выше нормы на 7° и более "
"21 Июня 2015 [13 35]" "В период с 21 по 25 июня в Пермском крае ожидается аномально жаркая погода со среднесуточной температурой воздуха выше нормы на 7° и более "
"21 Июня 2015 [13 25]" "22 июня в Иркутской области ожидаются сильные грозовые дожди  град и шквалистое усиление ветра до 17-20 м/с "
"21 Июня 2015 [12 20]" "В ближайшие 3 часа с сохранением до конца суток 21 июня и 22 июня в Ставропольском  Краснодарском краях  кроме черноморского побережья  ожидается сильный грозовые дожди  ливни с градом и шквалистым усилением ветра 20-23 м/с  На юго-западных и юго-восточных притоках р Кубань ожидается подъем уровней воды до неблагоприятных отметок "
"20 Июня 2015 [23 00]" "В ближайший час с сохранением ночью 21 июня в Ярославской области ожидается ливневый дождь  гроза  ветер 29-34 м/с "
"20 Июня 2015 [22 10]" "В ближайший час с сохранением в течение суток 21 июня в Свердловской и Челябинской областях ожидается сильный ливневый дождь  гроза  крупный град  ветер 22-27 м/с "
"20 Июня 2015 [20 05]" "В ближайший час с сохранением в течение суток 21 июня в центральных и южных районах Красноярского края  Хакасии  Тыве ожидается сильный и очень сильный дождь  ливневый дождь  гроза  град  ветер 25-27 м/с "
"20 Июня 2015 [19 15]" "21-26 июня в Пензенской и Ульяновской областях ожидается аномально жаркая погода со среднесуточной температурой выше климатической нормы на 7° и более "
"20 Июня 2015 [18 55]" "В ближайший час с сохранением до конца суток 20 июня и ночью 21 июня в Волгоградской области ожидается очень сильный ветер до 32 м/с "
"20 Июня 2015 [15 20]" "20-21 июня в Мордовии ожидается сильная жара  максимальная температура до 35°   В Татарстане 20-24 июня ожидается аномально жаркая погода со среднесуточными температурами на 9° и более выше климатической нормы  21-23 июня сильная жара  максимальная температура до 37°  "
"20 Июня 2015 [13 25]" "21-24 июня в Самарской области сохранится аномально жаркая погода со среднесуточной температурой выше климатической нормы на 7° и более "
"20 Июня 2015 [12 00]" "20 июня в Саратовской области ожидается сильная жара  температура до 40°  "
"20 Июня 2015 [10 30]" "Днем 21 июня в Саратовской области ожидается сильная жара  температура 40-42°  "
"20 Июня 2015 [10 30]" "Вечером 21 июня с сохранением ночью 22 июня в Тыве ожидается сильный и очень сильный дождь  ливневый дождь  гроза  град  ветер 24-27 м/с "
"20 Июня 2015 [09 30]" "20-21 июня в Тыве ожидается сильная жара  температура до 35° и выше  "
"20 Июня 2015 [02 25]" "В ближайшие 2-4 часа с сохранением ночью 21 июня в Тамбовской области ожидается сильный ливневый дождь  гроза  ветер 19-24 м/с "
"19 Июня 2015 [23 10]" "С 21 ч с сохранением до конца суток 19 июня на юге Таймырского Долгано-Ненецкого муниципального района Красноярского края ветер 22-27 м/с "
"19 Июня 2015 [20 45]" "В ближайшие 1-3 часа с сохранением до конца суток 19 и 20 июня в Кабардино-Балкарии местами ожидается сильный дождь  гроза  град  ветер до 20 м/с  На реках местами повышение уровня воды до неблагоприятных отметок "
"19 Июня 2015 [20 10]" "В ближайшие 1-3 часа с сохранением до конца суток 19 и 20 июня в Северной Осетии-Алании местами ожидается сильный дождь с грозой  град  ветер до 20 м/с  На реках местами повышение уровня воды до неблагоприятных отметок "
"19 Июня 2015 [18 10]" "В ближайшие 1-3 часа в Оренбургской области местами ожидается ветер 18-23 м/с "
"19 Июня 2015 [17 30]" "В ближайшие 3 часа с сохранением до конца суток и 20 июня в Ставропольском крае ожидается сильный дождь  гроза  ветер 20-23 м/с "
"19 Июня 2015 [16 30]" "В ближайшие 2-3 часа с сохранением в первой половине ночи 19 июня в Самарской области ожидается ливневый дождь  гроза  град  ветер 20-25 м/с "
"19 Июня 2015 [16 20]" "С 16 до 22 часов 19 июня с сохранением до конца суток  ночью и днем 20 июня в Ростовской области ожидается сильный дождь  ливневый дождь  гроза  ветер 20-22 м/с  местами до 29 м/с "
"19 Июня 2015 [15 20]" "20-24 июня в Саратовской области сохранится аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и более "
"19 Июня 2015 [15 00]" "В ближайшие 2-4 часа в Саратовской области ожидается сильная жара  температура до 40°  "
"19 Июня 2015 [13 40]" "В ближайшие 3-6 ч с сохранением до конца суток  20-21 июня на востоке Волгоградской области  во второй половине дня 20 июня в Астраханской области ожидается сильная жара  температура до 40°   "
"19 Июня 2015 [13 30]" "С 18-21 ч 19 июня с сохранением ночью и днем 20 июня на юго-западе Калмыкии сильный ливневый дождь  очень сильный дождь  гроза  град  ветер 24-29 м/с  "
"19 Июня 2015 [12 00]" "Во второй половине дня и вечером 19 июня с сохранением ночью и утром 20 июня в Татарстане ожидается сильный дождь  гроза  град  ветер 19-24 м/с  "
"18 Июня 2015 [22 57]" "Ночью и утром 19 июня в Пермском крае и Свердловской области сохранится сильный ливневый дождь  гроза  крупный град  ветер 20-25 м/с  "
"18 Июня 2015 [14 30]" "В ближайшие 3-6 часов с сохранением суток 18-19 июня в Краснодарском крае ожидается сильный дождь  ливневый дождь  гроза  град  ветер 15-20 м/с  "
"18 Июня 2015 [13 30]" "19-20 июня в Крымском федеральном округе ожидается сильный ливневый дождь  гроза  град  ветер 15-20 м/с  "
"18 Июня 2015 [13 20]" "18 июня в Ингушетии и Чечне ожидается сильный дождь  в Ингушетии очень сильный   сильный ливневый дождь  гроза  град  ветер 15-20 м/с  "
"18 Июня 2015 [13 20]" "18 июня в Ингушетии ожидается сильный ливневый и очень сильный дождь  гроза  град  ветер 15-20 м/с  "
"18 Июня 2015 [10 30]" "19-21 июня в Бурятии  20-22 июня в Забайкальском крае местами ожидается сильная жара  температура до 35° и выше  "
"18 Июня 2015 [08 30]" "Днем 18 июня в Башкортостане дождь  гроза  град  шквалистое усиление ветра до 20-25 м/с "
"17 Июня 2015 [20 47]" "До конца суток 17 и ночью и днем 18 июня в Татарстане сильный дождь  гроза  град  шквалистое усиление ветра 19-24 м/с "
"17 Июня 2015 [19 44]" "В ночь на 18 июня в Смоленской области ожидаются заморозки на поверхности почвы и на высоте травостоя 0   -2°"
"17 Июня 2015 [18 44]" "В ближайший час и до конца суток 17 июня  ночью и утром 18 июня в Ростовской области  в г  Ростове-на-Дону  в ближайший час до конца суток 17  с сохранением 18 июня в Чечне сильные грозовые дожди  в Ингушетии и Северной Осетии очень сильные дожди  ливни с градом  и усилением ветра до 20 м/с  На реках ожидаются подъемы уровней воды до неблагоприятных отметок "
"17 Июня 2015 [15 48]" "17-22 июня в Свердловской  Челябинской и Курганской областях ожидается аномально жаркая погода с отклонением от нормы на 7-10° и с максимальной температурой до +36°"
"17 Июня 2015 [15 48]" "Вечером 17 июня в отдельных районах Пермского края  в течение суток 18 июня в Пермском крае и Свердловской области очень сильный дождь  гроза  крупный град  усиление ветра 20-25 м/с "
"17 Июня 2015 [15 28]" "Вечером 17 июня  ночью и днем 18 июня в Татарстане сильный дождь  гроза  град  ветер до 20 м/с  местами порывы до 24 м/с "
"17 Июня 2015 [15 28]" "В ночь на 18 июня в Ивановской  Ярославской  Костромской областях заморозки на поверхности почвы и в травостое 0   -2°"
"17 Июня 2015 [11 56]" "Во второй половине дня 17 июня и сутки 18 июня в Крымском федеральном округе ожидаются сильные ливни  грозы  град  ветер 15-20 м/с "
"16 Июня 2015 [22 50]" "В ближайший час с сохранением ночью 17 июня в Кировской области ожидается сильный дождь  ливневый дождь  гроза  крупный град  ветер 22-27 м/с "
"16 Июня 2015 [21 15]" "В ближайший час с сохранением до конца суток 16 июня  ночью и днем 17 июня в Свердловской области ожидается ливневый дождь  гроза  крупный град  ветер 20-25 м/с "
"16 Июня 2015 [18 05]" "В ближайший час с сохранением до конца суток 16 июня и 17 июня в Ставропольском крае ожидается сильный грозовой дождь  град  ветер до 20 м/с "
"16 Июня 2015 [18 00]" "17-21 июня в Оренбургской области ожидается аномально жаркая погода со среднесуточной температурой выше климатической нормы на 7° и более "
"16 Июня 2015 [14 50]" "В ближайшие 2-4 часа с сохранением до конца суток 16 июня и 17 июня в Карачаево-Черкесии  Кабардино-Балкарии  и Краснодарском крае ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 20 м/с  на реках Карачаево-Черкесии  Кабардино-Балкарии  Краснодарского края и Адыгеи подъем уровня воды до неблагоприятных отметок  в горах сход селей малого объема "
"16 Июня 2015 [13 35]" "В ближайшие 2-4 часа в Северной Осетии  с 18 ч в Ставропольском крае с сохранением до конца суток 16 июня и 17 июня ожидается сильный грозовой дождь  град  ветер до 20 м/с  на реках Северной Осетии подъем уровня воды до неблагоприятных отметок  в горах сход селей малого объема "
"16 Июня 2015 [11 35]" "В ближайшие 2-4 часа с сохранением до конца суток 16 июня в Крымском федеральном округе ожидается сильный ливневый дождь  гроза  град  ветер 15-20 м/с "
"15 Июня 2015 [13 39]" "15-20 июня на юге Приволжского федерального округа ожидается аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и более "
"15 Июня 2015 [13 31]" "Днем 16 июня с сохранением ночью и днем 17 июня в Татарстане ожидается сильный грозовой дождь  град  ветер 19-24 м/с "
"15 Июня 2015 [13 25]" "15-19 июня в Саратовской области ожидается аномально жаркая погода со среднесуточной температурой воздуха выше климатической нормы на 7° и более "
"15 Июня 2015 [12 35]" "16 июня в северных районах Иркутской области ожидаются заморозки  температура ночью до -2°  "
"15 Июня 2015 [12 30]" "15 июня в период 15-18 часов в центральных и южных районах Воронежской области ожидается сильная жара  температура до 35°  "
"15 Июня 2015 [11 14]" "Днем 16 июня в Тыве местами ожидается сильная жара  температура до 35° и выше  "
"15 Июня 2015 [11 10]" "Во второй половине дня 15 июня на большей части Крымского федерального округа ожидается сильный ливневый дождь  гроза  град  ветер 15-20 м/с "
"15 Июня 2015 [08 42]" "Вечером 15 июня и в течение суток 16 июня ожидается в центральных сильный  в южных районах Красноярского края и Хакасии очень сильный дождь  ливневый дождь  гроза  град  ветер 15-20 м/с  местами до 23 м/с "
"14 Июня 2015 [17 24]" "В ближайшие 1-3 часа 14 июня в Туапсинском районе Краснодарского края ожидается очень сильный дождь "
"14 Июня 2015 [14 54]" "С 15 00 часов и до конца суток 14 июня  ночью и утром 15 июня в Карачаево-Черкесии  а так же до конца суток 15 июня в Кабардино-Балкарии ожидается сильный грозовой дождь  ливневый дождь  град  ветер до 20 м/с  На реках подъем уровней воды до неблагоприятных отметок  В горах сход селей малого объема  Во второй половине дня 14 июня в Крымском федеральном округе ожидается сильный ливневый дождь  гроза  град  ветер 15-20 м/с  В ближайшие 1-3 часа и до конца суток 14 и 15 июня в Северной Осетии ожидается сильный грозовой дождь  град  ветер до 20 м/с  На реках подъем уровней воды до неблагоприятных отметок  В горах сход селей малого объема "
"14 Июня 2015 [09 30]" "Во второй половине дня 14 июня и сутки 15 июня в Алтайском крае  в Новосибирской области  днем 15 июня в Томской области сильный дождь  гроза  град  ветер 18-23 м/с  в Алтайском крае  Новосибирской области порывы 23-28 м/с "
"13 Июня 2015 [08 50]" "13-15 июня в Тыве ожидается сильная жара  температура до 35° и выше  "
"12 Июня 2015 [17 50]" "В ближайшие 1-2 часа с сохранением до конца суток 12 июня в Краснодарском крае ожидается сильный грозовой дождь  ливневый дождь  град  ветер 15-20 м/с  на реках Краснодарского края и Адыгеи повышение уровня воды до неблагоприятных отметок "
"12 Июня 2015 [14 35]" "В ближайший час с сохранением до конца суток 12 июня и 13 июня в Кабардино-Балкарии  Северной Осетии  в ближайшие 2-4 часа с сохранением до конца суток 12 июня в Карачаево-Черкесии ожидается сильный грозовой дождь  ливневый дождь  град  ветер 20-25 м/с  на реках повышение уровня воды до неблагоприятных отметок  в горах сход селей малого объема "
"11 Июня 2015 [13 20]" "12 июня в Оренбургской области местами ожидаются заморозки  температура ночью -3   0°  "
"11 Июня 2015 [08 25]" "11 июня в Кировской области ожидаются заморозки  температура ночью и утром -2   0°  "
"10 Июня 2015 [17 35]" "В ближайшие 3-6 часов с сохранением до конца суток 10 и 11 июня в Краснодарском крае  Карачаево-Черкесии ожидается сильный дождь  ливневый дождь  гроза  град  ветер до 20 м/с  На реках Карачаево-Черкесии ожидается повышение уровней воды до неблагоприятных отметок  В горах сход селей малого объема  11 июня в Костромской области ожидаются заморозки  температура ночью -2   0°  "
"10 Июня 2015 [15 25]" "В ближайшие 1-3 часа с сохранением до конца суток 10 и 11 июня в Кабардино-Балкарии  Северной Осетии  Ингушетии  Чечне ожидается сильный дождь  гроза  град  ветер 20-25 м/с  На реках ожидается повышение уровней воды до неблагоприятных отметок  В горах сход селей малого объема "
"10 Июня 2015 [13 41]" "11 июля в Свердловской области ожидаются заморозки  температура ночью -2   0°   11-12 июля в Крымском федеральном округе ожидается сильный ливневый дождь  гроза  град  ветер 15-20 м/с "
"10 Июня 2015 [12 11]" "11-12 июля в Башкортостане ожидаются заморозки  температура ночью -2   0°  "
